name,sido,sigungu,address,phone,is_24h,lat,lng
전남대학교병원 응급의료센터,광주광역시,동구,광주광역시 동구 제봉로 42,062-220-6888,Y,35.1415,126.9216
조선대학교병원 응급의료센터,광주광역시,동구,광주광역시 동구 필문대로 365,062-220-3119,Y,35.1397,126.9256
화순전남대학교병원 응급실,전라남도,화순군,전라남도 화순군 화순읍 서양로 322,061-379-7888,Y,35.0529,127.0830
광주기독병원 응급실,광주광역시,남구,광주광역시 남구 양림로 37,062-650-5119,Y,35.1345,126.9163
광주보훈병원 응급실,광주광역시,광산구,광주광역시 광산구 월계천로 106,062-975-8119,Y,35.1845,126.7950
광주한국병원 응급실,광주광역시,서구,광주광역시 서구 상무자유로 85,062-380-3119,Y,35.1520,126.8510
나주종합병원 응급실,전라남도,나주시,전라남도 나주시 영산로 500,061-000-2999,Y,35.0300,126.7300
목포한국병원 응급실,전라남도,목포시,전라남도 목포시 고하대로 597,061-270-0119,Y,34.7900,126.3800
순천성가롤로병원 응급실,전라남도,순천시,전라남도 순천시 순천로 221,061-720-6119,Y,34.9450,127.4950
여수전남병원 응급실,전라남도,여수시,전라남도 여수시 좌수영로 49,061-690-7119,Y,34.7400,127.7300
