name,type,sido,sigungu,address,departments,phone,lat,lng
빛가람내과의원,의원,전라남도,나주시,전라남도 나주시 빛가람로 100,내과,061-000-1001,35.0190,126.7896
나주중앙의원,의원,전라남도,나주시,전라남도 나주시 중앙로 25,내과,061-000-1002,35.0152,126.7108
빛가람소아과의원,의원,전라남도,나주시,전라남도 나주시 빛가람로 210,소아과,061-000-1003,35.0203,126.7911
나주튼튼정형외과의원,의원,전라남도,나주시,전라남도 나주시 영산로 55,정형외과,061-000-1004,35.0145,126.7155
나주미래이비인후과의원,의원,전라남도,나주시,전라남도 나주시 시청길 12,이비인후과,061-000-1005,35.0161,126.7105
나주피부과의원,의원,전라남도,나주시,전라남도 나주시 빛가람로 320,피부과,061-000-1006,35.0215,126.7920
나주치과의원,의원,전라남도,나주시,전라남도 나주시 중앙로 40,치과,061-000-1007,35.0158,126.7120
나주안과의원,의원,전라남도,나주시,전라남도 나주시 영산로 88,안과,061-000-1008,35.0150,126.7170
나주한의원,의원,전라남도,나주시,전라남도 나주시 남평읍 중앙로 15,한의원,061-000-1009,35.0465,126.8350
나주산부인과의원,의원,전라남도,나주시,전라남도 나주시 빛가람로 150,산부인과,061-000-1010,35.0197,126.7902
나주종합병원,병원,전라남도,나주시,전라남도 나주시 영산로 500,"내과,외과,정형외과,소아과",061-000-2001,35.0300,126.7300
나주성모병원,병원,전라남도,나주시,전라남도 나주시 중앙로 220,"내과,정형외과,신경과",061-000-2002,35.0178,126.7210
전남대학교병원,상급종합병원,광주광역시,동구,광주광역시 동구 제봉로 42,"내과,외과,정형외과,신경과,소아과,산부인과,피부과,안과,이비인후과",062-220-6000,35.1415,126.9216
조선대학교병원,종합병원,광주광역시,동구,광주광역시 동구 필문대로 365,"내과,외과,정형외과,신경과,흉부외과,소아과,산부인과,안과,이비인후과",062-220-3000,35.1397,126.9256
광주기독병원,종합병원,광주광역시,남구,광주광역시 남구 양림로 37,"내과,외과,정형외과,신경과,소아과,가정의학과",062-650-5000,35.1345,126.9163
화순전남대학교병원,상급종합병원,전라남도,화순군,전라남도 화순군 화순읍 서양로 322,"내과,외과,정형외과,신경과,소아과,종양내과",061-379-7000,35.0529,127.0830
광주한국병원,병원,광주광역시,서구,광주광역시 서구 상무자유로 85,"내과,정형외과,외과",062-380-3000,35.1520,126.8510
광주보훈병원,종합병원,광주광역시,광산구,광주광역시 광산구 월계천로 106,"내과,외과,정형외과,신경과,재활의학과",062-975-8000,35.1845,126.7950
목포시의료원,병원,전라남도,목포시,전라남도 목포시 영산로 483,"내과,외과,정형외과,소아과",061-260-6000,34.8100,126.4150
순천성가롤로병원,종합병원,전라남도,순천시,전라남도 순천시 순천로 221,"내과,외과,정형외과,신경과,소아과,산부인과",061-720-6000,34.9450,127.4950
광주서창내과의원,의원,광주광역시,서구,광주광역시 서구 서창로 30,내과,062-000-1101,35.1200,126.8300
광주첨단정형외과의원,의원,광주광역시,광산구,광주광역시 광산구 첨단중앙로 90,정형외과,062-000-1102,35.2160,126.8500
광주충장로이비인후과의원,의원,광주광역시,동구,광주광역시 동구 충장로 55,이비인후과,062-000-1103,35.1470,126.9140
광주수완소아과의원,의원,광주광역시,광산구,광주광역시 광산구 수완로 120,소아과,062-000-1104,35.1900,126.8200
나주정신건강의학과의원,의원,전라남도,나주시,전라남도 나주시 빛가람로 400,정신건강의학과,061-000-1011,35.0225,126.7930
광주류마내과의원,의원,광주광역시,남구,광주광역시 남구 봉선로 10,내과,062-000-1105,35.1250,126.9050
